filename	caption	second positive	negative_caption
000000219271.jpg	A crowd of people walking along a snow covered mountain side.	Numerous people walking along the mountainside covered with snow.	A crowd of people skiing down a snow covered mountain side.
000000454750.jpg	Two zebras standing in line with the head of one resting on the back of the other	Couple of zebras stand in line with one resting its head on the back of the other.	Two zebras laying down with the head of one resting on the back of the other.
000000491366.jpg	Two people playing a video game in the house.	Couple of individuals are indoors playing a video game.	Two people playing a video game on the roof of the house.
000000218439.jpg	This person is looking at their cell phone while brushing their teeth.	A person while brushing teeth is looking at cell phone.	This person is ignoring their cell phone while brushing their teeth.
000000297698.jpg	A person on skis fly through the sky	An individual fly through the sky on skis.	A person off skis lands on the ground.
000000520264.jpg	Two persons are posing for a picture in a kitchen.	 In a kitchen, a couple of persons are posing for a picture.	Two persons are cooking for each other in a kitchen.
000000349860.jpg	A young person doing a jump with their skateboard in a skate park	A young person performs a jump in the skate park with their skateboard.	A young person doing a jump with their skateboard outside a skate park.
000000009769.jpg	A truck with a snow plow attached to the front.	The snow plow is attached to the front of a truck.	A truck with a snow plow detached from the front.
000000312421.jpg	A lunch box of some sorts is placed on the table.	A container on the table appears to be some type of lunch box	A lunch box of some sorts is taken from the table.
000000402992.jpg	A herd of cows with yellow tags on their ears in a field of grass.	A group of cows with yellow tags on their ears are in the grass field.	A herd of cows with yellow tags on their ears outside a field of grass.
000000369370.jpg	A white bread sandwich on plate filled with ham and lettuce	A plate filled with ham and lettuce also contains a sandwich made of white bread.	A white bread sandwich beside a plate filled with ham and lettuce.
000000213224.jpg	A vase filled with flowers next to a smaller vase filled with even more flowers.	The smaller vase adjacent to the vase with flowers is filled with even more flowers.	A vase filled with flowers next to an empty smaller vase.
000000302165.jpg	A herd of cows laying on dry grass.	A group of cows are resting on dry grass.	A herd of cows wandering on lush green grass.
000000134096.jpg	A calico cat drinks water from a faucet.	A cat with tri-color coat drinks water from a tap.	A calico cat drinks water beside a faucet.
000000517687.jpg	A close up of two cell phones near one another	A close-up of two cell phones positioned close to each other.	A close up of two cell phones far from one another.
000000121031.jpg	The shirtless persons are riding horses through the lake.	Individuals without shirts are riding horses through the lake.	The shirtless persons are riding horses beside the lake.
000000284296.jpg	Giraffes leaning down to drink at a watering hole	Giraffes bending down to drink from a watering hole.	Giraffes raising their heads from drinking at a watering hole.
000000332570.jpg	A person holding a BlackBerry cell phone in their hand.	A person grasping a blackberry cell phone.	A person holding a blackberry cell phone near their hand.
000000480985.jpg	A motorcycle is parked inside of a building.	The building contains the parked motorcycle.	A motorcycle is parked outside of a building.
000000340175.jpg	A living room with wooden floors and furniture	Furniture is located within the wooden floored living room.	A living room without wooden floors and furniture.
000000054593.jpg	A young kid with a baseball bat gets ready for the pitch	A young child holding a baseball bat is preparing for the pitch.	A young kid without a baseball bat gets ready for the pitch.
000000319721.jpg	The person stands next to the large brown horse.	The large brown horse is adjacent to the standing person.	The person is riding the large brown horse.
000000226903.jpg	A bunch of cakes are sitting on the counter.	The countertop holds several cakes.	A bunch of cakes are stacked on the counter.
000000199310.jpg	A long-haired person standing outside holding a racquet with both hands.	An individual with long hair is standing outdoors and holding a racket with both hands.	A long-haired person sitting outside holding a racquet with both hands.
000000077460.jpg	A group of people standing on a field under a cloudy blue sky.	Several individuals are standing in an open field beneath a blue sky that is cloudy.	A group of people sitting on a field under a cloudy blue sky.
000000000785.jpg	A young person is skiing down the mountain slope.	A young individual is skiing down the slope of the mountain.	A young person is hiking up the mountain slope.
000000370677.jpg	Three workers stand next to each other with their baked goods behind them.	Three employees are positioned side by side in front of their baked goods.	Three workers stand opposite each other with their baked goods behind them.
000000183675.jpg	A person wearing cowboy gear is sitting on a horse.	A person sitting on a horse, wearing a cowboy gear.	A person wearing cowboy gear is standing beside a horse.
000000072813.jpg	Dog lies on bed looking towards the camera	The dog looking towards the camera while lying on the bed.	Dog lies on bed looking away from the camera.
000000005060.jpg	A person sitting cross legged in front of a mirror on the floor taking a self portrait	A person sitting, in front of a mirror, with legs crossed on the floor taking a self-portrait.	A person sitting cross legged behind a mirror on the floor taking a self portrait.
